text,service,urgency,required_skill
Need a carpenter to fix my door,Carpentry,Medium,Door Repair
Need a shelf installed,Carpentry,Low,Shelf Installation
Please install a wall shelf,Carpentry,Low,Shelf Installation
Wooden shelf is loose,Carpentry,Medium,Shelf Repair
Need custom wooden furniture,Carpentry,Low,Furniture Work
I need a carpenter for a table,Carpentry,Low,Furniture Work
My cabinet needs repair,Carpentry,Medium,Furniture Repair
Cabinet door is not closing,Carpentry,Medium,Furniture Repair
Wooden bed needs fixing,Carpentry,Medium,Furniture Repair
Bed frame is damaged,Carpentry,Medium,Furniture Repair
Mere table ka leg toot gaya hai,Carpentry,Medium,Furniture Repair
Cupboard ka door theek karna hai,Carpentry,Medium,Carpentry Repair
Door ka hinge loose hai,Carpentry,Medium,Door Repair
Wooden shelf lagwani hai,Carpentry,Low,Shelf Installation
Study table assemble karna hai,Carpentry,Low,Furniture Assembly
Need someone to fix a wooden door,Carpentry,Medium,Door Repair
Wooden cupboard is damaged,Carpentry,Medium,Furniture Repair
Please repair my dining table,Carpentry,Medium,Furniture Repair
Need a carpenter to install shelves,Carpentry,Low,Shelf Installation
My chair has a broken leg,Carpentry,Medium,Furniture Repair
Wooden cabinet hinge is broken,Carpentry,Medium,Carpentry Repair
I need someone to clean my house,Cleaning,Low,House Cleaning
Please clean my apartment,Cleaning,Low,House Cleaning
Need a deep cleaning service,Cleaning,Low,Deep Cleaning
My house needs deep cleaning,Cleaning,Low,Deep Cleaning
Kitchen needs cleaning,Cleaning,Low,Kitchen Cleaning
Please clean my kitchen,Cleaning,Low,Kitchen Cleaning
Bathroom needs cleaning,Cleaning,Low,Bathroom Cleaning
Please clean the bathroom,Cleaning,Low,Bathroom Cleaning
Need help cleaning windows,Cleaning,Low,Window Cleaning
Windows are very dirty,Cleaning,Low,Window Cleaning
Need someone to mop the floor,Cleaning,Low,House Cleaning
Please mop and clean my floors,Cleaning,Low,House Cleaning
House is dusty and needs cleaning,Cleaning,Low,House Cleaning
Need regular home cleaning,Cleaning,Low,House Cleaning
Can someone clean my apartment today,Cleaning,Low,House Cleaning
Mere ghar ki safai karwani hai,Cleaning,Low,House Cleaning
Kitchen ki safai chahiye,Cleaning,Low,Kitchen Cleaning
Bathroom clean karwana hai,Cleaning,Low,Bathroom Cleaning
Ghar bahut dusty hai,Cleaning,Low,House Cleaning
Floor mop karna hai,Cleaning,Low,House Cleaning
Need a cleaner for my house,Cleaning,Low,House Cleaning
Please clean my bedroom,Cleaning,Low,House Cleaning
Need someone for bathroom cleaning,Cleaning,Low,Bathroom Cleaning
Kitchen floor is dirty,Cleaning,Low,Kitchen Cleaning
Need deep cleaning before guests arrive,Cleaning,Low,Deep Cleaning
Please clean the entire apartment,Cleaning,Low,Deep Cleaning
Need a professional house cleaner,Cleaning,Low,House Cleaning
Help me clean my home,Cleaning,Low,House Cleaning
Need someone to clean the windows,Cleaning,Low,Window Cleaning
I need someone to maintain my garden,Gardening,Low,Garden Maintenance
Please take care of my garden,Gardening,Low,Garden Maintenance
My lawn needs maintenance,Gardening,Low,Lawn Maintenance
Need someone to cut the grass,Gardening,Low,Lawn Maintenance
Please mow my lawn,Gardening,Low,Lawn Maintenance
Need help planting flowers,Gardening,Low,Plant Care
Please plant some flowers in my garden,Gardening,Low,Plant Care
My plants need care,Gardening,Low,Plant Care
Plants are drying out,Gardening,Medium,Plant Care
Need help trimming garden plants,Gardening,Low,Garden Maintenance
Trees need pruning,Gardening,Medium,Tree Pruning
Please trim the bushes,Gardening,Low,Garden Maintenance
Garden is overgrown,Gardening,Low,Garden Maintenance
Need someone to clean my garden,Gardening,Low,Garden Maintenance
Mere garden ki maintenance chahiye,Gardening,Low,Garden Maintenance
Plants ki care karwani hai,Gardening,Low,Plant Care
Lawn bahut bada ho gaya hai,Gardening,Low,Lawn Maintenance
Garden mein plants lagwane hain,Gardening,Low,Plant Care
Ped ki branches trim karni hain,Gardening,Medium,Tree Pruning
Need a gardener for my lawn,Gardening,Low,Lawn Maintenance
Please water and maintain my plants,Gardening,Low,Plant Care
Garden needs trimming,Gardening,Low,Garden Maintenance
Need help with overgrown bushes,Gardening,Low,Garden Maintenance
My plants are not healthy,Gardening,Medium,Plant Care
Need someone to prune a tree,Gardening,Medium,Tree Pruning
Please maintain the backyard garden,Gardening,Low,Garden Maintenance
Need lawn cutting service,Gardening,Low,Lawn Maintenance
Help me take care of my plants,Gardening,Low,Plant Care
Need garden cleanup,Gardening,Low,Garden Maintenance
I need someone to fix a few things at home,General Repairs,Medium,General Repair
Something in my house needs repairing,General Repairs,Medium,General Repair
Need help with a small home repair,General Repairs,Low,General Repair
My wall has a damaged section,General Repairs,Medium,General Repair
Need someone to fix a broken door handle,General Repairs,Medium,General Repair
Door handle is loose,General Repairs,Medium,General Repair
My curtain rod has fallen,General Repairs,Low,General Repair
Need help fixing a curtain rod,General Repairs,Low,General Repair
Bathroom mirror needs mounting,General Repairs,Low,General Repair
Please mount a mirror on my wall,General Repairs,Low,General Repair
Need someone to fix a loose cabinet handle,General Repairs,Low,General Repair
My cabinet handle is broken,General Repairs,Medium,General Repair
Need help assembling a small household item,General Repairs,Low,General Repair
Something is broken at home and I need help,General Repairs,Medium,General Repair
Mere ghar mein chhota repair ka kaam hai,General Repairs,Low,General Repair
Door handle loose hai,General Repairs,Medium,General Repair
Mirror wall pe lagwana hai,General Repairs,Low,General Repair
Curtain rod fix karna hai,General Repairs,Low,General Repair
Ghar mein kuch repair ka kaam hai,General Repairs,Medium,General Repair
Need a handyman for some household repairs,General Repairs,Medium,General Repair
Please fix a loose door handle,General Repairs,Medium,General Repair
Need help mounting a wall mirror,General Repairs,Low,General Repair
A cabinet handle came off,General Repairs,Low,General Repair
Need someone for miscellaneous home repairs,General Repairs,Medium,General Repair
Help with a small repair around the house,General Repairs,Low,General Repair
Need a handyman today,General Repairs,Medium,General Repair
Several small things need fixing at home,General Repairs,Medium,General Repair
Please repair a loose handle,General Repairs,Low,General Repair
I need basic household maintenance,General Repairs,Low,General Repair
Can someone help with a home repair,General Repairs,Medium,General Repair
